name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Haegeum,D-DAY,Agust D,2023-04-21,168926,83,0.313,0.697,0.837,0.0,0.471,-2.651,0.304,85.097,0.831,5,7,1,spotify:track:4bjN59DRXFRxBE1g5ne6B1,2023
Life Goes On,D-DAY,Agust D,2023-04-21,197638,70,0.0345,0.439,0.733,0.0,0.292,-6.471,0.0773,162.125,0.615,4,4,1,spotify:track:7gv3UYPh05ZDP7Io5BIsn7,2023
People Pt.2 (feat. IU),D-DAY,Agust D,2023-04-21,213995,77,0.391,0.729,0.574,0.0,0.319,-4.779,0.0589,88.94,0.438,4,7,0,spotify:track:41JPN7pZMTp1sumBOHOzHd,2023
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
AMYGDALA,D-DAY,Agust D,2023-04-21,251533,73,0.226,0.311,0.769,0.0,0.105,-4.637,0.0553,78.265,0.16,4,7,1,spotify:track:5fj32MKLHkut2Vod1UodcU,2023
All 4 Nothing (I'm So In Love),All 4 Nothing,Lauv,2022-08-05,183014,69,0.0411,0.72,0.819,0.0,0.0606,-4.588,0.0362,131.99,0.898,4,1,1,spotify:track:7I5WT7DtpwSAhEeDLpZEfm,2022
Like Crazy,FACE,Jimin,2023-03-24,212241,94,0.0025,0.629,0.733,0.0,0.357,-5.445,0.0419,120.001,0.362,4,7,1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,2023
I Can Love Anyone (As Long As It's You),I Can Love Anyone (As Long As It's You),Anson Seabra,2023-01-27,202923,46,0.79,0.472,0.28,0.0,0.14,-9.061,0.0865,69.953,0.226,4,9,1,spotify:track:16TVnHHANCCcDN7673V7tC,2023
Smoke Sprite (feat. RM of BTS),Episode1 : Love,So!YoON!,2023-03-14,242200,71,0.151,0.608,0.692,0.0,0.173,-3.182,0.0441,131.972,0.569,4,9,0,spotify:track:5YSkDxmHvzSDWTu4MaEtfa,2023
Iraaday,Iraaday,Rovalio,2022-03-18,133305,73,0.601,0.737,0.458,6.98e-06,0.138,-5.805,0.0317,89.993,0.456,4,6,1,spotify:track:6qrifdo7QINdPQr80IelGi,2022
D-Day,D-DAY,Agust D,2023-04-21,211373,71,0.294,0.59,0.878,0.0,0.0959,-3.199,0.266,139.934,0.699,5,4,0,spotify:track:22W6wI4hDTjMAYKKBQW9dU,2023
Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",V,2021-12-24,209946,77,0.699,0.437,0.384,2.33e-05,0.121,-8.384,0.042,139.009,0.181,4,5,1,spotify:track:186NCtNk1tUYS7c2DxgJ7O,2021
Bye,Bye,Aditya Bhardwaj,2022-12-02,174285,70,0.0433,0.571,0.814,8.73e-05,0.0762,-7.515,0.121,168.064,0.461,4,6,1,spotify:track:0PGU5mcLncBYE8yuVpSwqA,2022
Wild Flower (with youjeen),Indigo,RM,2022-12-02,273499,80,0.0282,0.486,0.766,0.0,0.123,-5.821,0.0938,154.992,0.417,4,8,1,spotify:track:1AZjCZSGEjlxUufFQwSszF,2022
HUH?! (feat. j-hope),D-DAY,Agust D,2023-04-21,183290,69,0.207,0.763,0.806,0.0,0.229,-2.785,0.302,139.911,0.522,4,9,1,spotify:track:6XrPzwKeGzEvtan3acn7VH,2023
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,75,0.491,0.459,0.339,6.05e-06,0.0892,-7.961,0.0251,92.097,0.146,4,3,1,spotify:track:3Wno87vVBVbSVS2vUUFuKC,2020
The Astronaut,The Astronaut,JIN,2022-10-28,282463,87,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,124.988,0.215,4,5,1,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,2022
Coffee,"O!RUL8,2?",BTS,2013-09-11,260433,66,0.00862,0.656,0.798,0.0,0.321,-6.608,0.103,92.031,0.573,4,0,1,spotify:track:4eqHEzFsCCiGALC1MHbqnU,2013
SDL,D-DAY,Agust D,2023-04-21,171442,69,0.2,0.575,0.854,0.0,0.226,-2.62,0.214,164.029,0.609,4,9,1,spotify:track:2vRoAkwc3UBEPW2udvN0u9,2023
"Closer (with Paul Blanco, Mahalia)",Indigo,RM,2022-12-02,196507,71,0.459,0.507,0.706,2.37e-06,0.163,-6.395,0.173,92.828,0.403,4,8,1,spotify:track:0Cuwd86fyu0lPVokzTp8Hu,2022
