name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Butter,Butter,BTS,2021-05-21,164441,4,0.00323,0.759,0.459,0.0,0.0906,-5.187,0.0948,109.997,0.695,4,8,1,spotify:track:3VqeTFIvhxu3DIe4eZVzGq,2021
Film out,Film out,BTS,2021-04-01,214620,68,0.296,0.499,0.709,0.0,0.331,-6.404,0.134,164.032,0.314,4,10,1,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,2021
My Universe,My Universe,Coldplay,2021-09-24,228000,81,0.00813,0.588,0.701,0.0,0.2,-6.39,0.0402,104.988,0.443,4,9,1,spotify:track:3FeVmId7tL5YN8B7R3imoM,2021
Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,2,0.00544,0.702,0.741,0.0,0.337,-5.33,0.0427,124.925,0.646,4,9,1,spotify:track:0LThjFY2iTtNdd4wviwVV2,2021
Butter (Instrumental),Butter,BTS,2021-05-21,162146,0,0.000178,0.429,0.387,0.802,0.142,-7.486,0.0753,109.893,0.41,4,1,1,spotify:track:1e0Wxoraz9IzFhREDqgJAe,2021
Dark Paradise,Born To Die - The Paradise Edition,Lana Del Rey,2012-01-01,243187,74,0.0953,0.6,0.653,0.0,0.122,-8.309,0.0594,119.994,0.43,4,1,0,spotify:track:6qqdFWe7C4LsBjWbXQdsHA,2012
Strawberries & Cigarettes,Strawberries & Cigarettes,Troye Sivan,2018-03-16,201538,82,0.162,0.578,0.537,0.0,0.076,-8.676,0.0832,83.909,0.25,4,9,1,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,2018
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,23,0.495,0.462,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,0.149,4,3,1,spotify:track:39EXZNMxb4RBHlRjnRaOKp,2020
Dynamite,BE,BTS,2020-11-20,199053,4,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,0.737,4,6,0,spotify:track:4saklk6nie3yiGePpBwUoc,2020
Don't (feat. RM),Fragile,eAeon,2021-04-30,205386,64,0.106,0.63,0.596,0.01,0.0983,-7.965,0.0328,106.935,0.275,4,4,0,spotify:track:6KE3Fs6LMzi4hJI3eFqyLC,2021
Daechwita,D-2,Agust D,2020-05-22,225668,1,0.0229,0.65,0.827,0.0,0.121,-4.014,0.0599,144.995,0.223,4,8,1,spotify:track:0H4ugk6rhnXmTl47ayy9O5,2020
Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,0.531,4,11,1,spotify:track:3USxtqRwSYz57Ewm6wWRMp,2020
Life Goes On,BE,BTS,2020-11-20,207481,1,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,4,1,1,spotify:track:249gnXrbfmV8NG6jTEMSwD,2020
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-31,137875,76,0.297,0.61,0.508,0.0,0.384,-6.682,0.152,178.818,0.758,4,8,0,spotify:track:67BtfxlNbhBmCDR2L2l8qd,2021
we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,184153,10,0.113,0.566,0.366,0.181,0.155,-12.808,0.028,129.959,0.237,4,7,1,spotify:track:1BYZxKSf0aTxp8ZFoeyM3d,2018
Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,134239,80,0.127,0.707,0.955,0.0,0.202,-4.593,0.222,125.989,0.575,4,10,0,spotify:track:78qd8dvwea0Gosb6Fe6j3k,2020
Butter (Megan Thee Stallion Remix),Butter (Megan Thee Stallion Remix),BTS,2021-08-27,164457,0,0.00308,0.739,0.588,0.0,0.109,-4.971,0.136,109.958,0.774,4,8,1,spotify:track:3JR0ducCexKbeK47g6AHm5,2021
Into It,Chase Atlantic,Chase Atlantic,2017-10-04,196767,83,0.0503,0.518,0.572,2.41e-05,0.129,-6.706,0.0416,130.053,0.291,4,10,0,spotify:track:4HwDCXsMBC7SUdp2WT4MZP,2017
girls,girls,girl in red,2018-06-08,198400,9,0.227,0.515,0.449,0.0357,0.171,-14.468,0.0337,149.966,0.792,4,5,1,spotify:track:1kqc6U8hVYZhY0gFGQclCz,2018
Ashes,Ashes,Stellar,2020-05-03,166355,76,0.0947,0.712,0.568,0.0,0.169,-7.864,0.0546,130.019,0.46,4,5,0,spotify:track:3Pj6u2KTgepyyidp5xfbHp,2020
Telepathy,BE,BTS,2020-11-20,202313,0,0.00782,0.787,0.669,0.0,0.123,-4.333,0.0428,104.994,0.57,4,5,0,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,2020
Need to Know,Planet Her,Doja Cat,2021-06-25,210560,82,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,0.194,4,1,1,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,2021
It's Definitely You,"HWARANG, Pt. 2 (Music from the Original TV Series)",V,2016-12-20,230693,73,0.241,0.737,0.731,0.0,0.087,-3.193,0.0706,94.999,0.761,4,10,0,spotify:track:2LowwiemmGMzzNSH1PJprK,2016
Exxus,Glass Animals,Glass Animals,2013-01-01,256041,48,0.469,0.625,0.428,0.0799,0.0892,-11.294,0.0411,149.908,0.289,4,0,0,spotify:track:3Gq1Ib3ycJQfzg0U76Fk3P,2013
UGH!,MAP OF THE SOUL : 7,BTS,2020-02-21,225012,0,0.0394,0.72,0.824,0.0,0.0509,-5.086,0.128,165.998,0.333,4,10,0,spotify:track:1aKuG1GG76xPLUkjBbQo3W,2020
All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,87,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331,4,8,1,spotify:track:3U4isOIWM3VvDubwSI3y7a,2013
positions,Positions,Ariana Grande,2020-10-30,172324,84,0.468,0.737,0.802,0.0,0.0931,-4.771,0.0878,144.015,0.682,4,0,1,spotify:track:35mvY5S1H3J2QZyna3TFe0,2020
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,212000,81,0.0203,0.736,0.704,0.0,0.0501,-7.409,0.0615,149.995,0.894,4,3,0,spotify:track:27NovPIUIRrOZoCHxABJwK,2021
Interlude : Shadow,MAP OF THE SOUL : 7,BTS,2020-02-21,259821,0,0.115,0.385,0.798,0.0,0.181,-6.439,0.483,149.756,0.141,4,9,0,spotify:track:2Nib4r0saYQf2pUV4RFDhl,2020
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,86,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478,4,1,1,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,2021
34+35,Positions,Ariana Grande,2020-10-30,173710,80,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,0.485,4,0,1,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,2020
At My Worst,The Prelude,Pink Sweat$,2020-07-17,170344,74,0.777,0.813,0.415,0.0,0.131,-5.926,0.0349,91.921,0.667,4,0,1,spotify:track:0ri0Han4IRJhzvERHOZTMr,2020
Blue & Grey,BE,BTS,2020-11-20,254950,1,0.42,0.547,0.605,0.0,0.125,-6.755,0.0415,121.953,0.364,4,8,1,spotify:track:0n2moJpAEWHwaPYYjkzMDl,2020
The Last,Agust D,Agust D,2016-08-16,245757,0,0.00167,0.756,0.837,0.0062,0.0848,-2.704,0.203,119.984,0.444,4,1,1,spotify:track:6lRWD0dOKIrFrmb9tmd62M,2016
Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G),j-hope,2019-09-27,235497,0,0.00502,0.826,0.817,1.09e-05,0.294,-4.081,0.0921,97.053,0.168,4,2,1,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,2019
Laughing on the Outside,Laughing on the Outside b/w Heavenly,Bernadette Carroll,2018-06-08,140453,58,0.822,0.386,0.419,0.00152,0.267,-9.712,0.0421,99.014,0.425,3,5,1,spotify:track:5tjN7zmWma6AZF1B1BG6rv,2018
Stay,BE,BTS,2020-11-20,204800,0,0.114,0.582,0.693,0.0,0.13,-5.048,0.0465,125.904,0.341,4,6,1,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,2020
