name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook,2023-11-03,183550,90,0.312,0.79,0.831,0.0,0.0797,-4.185,0.044,124.987,0.872,4,11,1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,2023
Take Two,Take Two,BTS,2023-06-09,229953,84,0.0268,0.617,0.589,0.0,0.378,-5.978,0.0345,92.991,0.566,4,7,1,spotify:track:5IAESfJjmOYu7cHyX557kz,2023
Like Crazy,FACE,Jimin,2023-03-24,212241,94,0.0025,0.629,0.733,0.0,0.357,-5.445,0.0419,120.001,0.362,4,7,1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,2023
People Pt.2 (feat. IU),D-DAY,Agust D,2023-04-21,213995,77,0.391,0.729,0.574,0.0,0.319,-4.779,0.0589,88.94,0.438,4,7,0,spotify:track:41JPN7pZMTp1sumBOHOzHd,2023
"Closer (with Paul Blanco, Mahalia)",Indigo,RM,2022-12-02,196507,71,0.459,0.507,0.706,2.37e-06,0.163,-6.395,0.173,92.828,0.403,4,8,1,spotify:track:0Cuwd86fyu0lPVokzTp8Hu,2022
Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,179026,84,0.268,0.593,0.935,0.0,0.286,-3.43,0.225,99.976,0.783,4,4,0,spotify:track:0a4MMyCrzT0En247IhqZbD,2022
Promise,Promise,Jimin,2018-12-31,151011,75,0.83,0.692,0.534,5.57e-06,0.238,-7.155,0.0433,88.964,0.739,4,2,1,spotify:track:2RUcwyW74Sv4VracHFrKdh,2018
7PM (Feat. Peder Elias),BSS 1st Single Album 'SECOND WIND',BSS,2023-02-06,195133,69,0.0354,0.833,0.555,0.0,0.113,-5.18,0.0566,120.006,0.731,4,8,1,spotify:track:6tAPw1Rtt3SGEOm6ohYi8l,2023
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
Sugar Rush Ride,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,2023-01-27,186570,78,0.00788,0.712,0.893,0.0,0.169,-3.995,0.0851,125.022,0.828,4,10,0,spotify:track:0rhI6gvOeCKA502RdJAbfs,2023
Perfume,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,167626,72,0.173,0.718,0.735,0.0,0.142,-1.728,0.0377,105.977,0.699,4,8,1,spotify:track:0jd4aa9XgV5eom0ez0WBrD,2023
Lonely,Indigo,RM,2022-12-02,166020,71,0.168,0.786,0.583,0.000118,0.0828,-7.471,0.0371,114.487,0.674,4,11,0,spotify:track:49iPCmLYg3SS8r2MXcbR1N,2022
Sour Grapes,FEARLESS,LE SSERAFIM,2022-05-02,196540,77,0.395,0.779,0.801,0.0,0.108,-5.564,0.0457,139.998,0.72,4,6,0,spotify:track:6wBpO4Xc4YgShnENGSFA1M,2022
Tinnitus (Wanna be a rock),The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,2023-01-27,157261,75,0.179,0.9,0.725,0.00101,0.0791,-6.213,0.135,100.015,0.791,4,5,0,spotify:track:0f0SbtoKGe41cX5LzlnX6X,2023
Kiss,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,180933,61,0.168,0.673,0.799,0.0,0.349,-2.662,0.128,92.0,0.713,4,7,1,spotify:track:6iirdwpyu2Ohg3iVdu4vXl,2023
Ditto,Ditto,NewJeans,2022-12-19,185506,85,0.027,0.814,0.641,0.0,0.0993,-5.957,0.111,133.854,0.183,4,6,0,spotify:track:3r8RuvgbX9s7ammBn07D3W,2022
= (Equal Sign),Jack In The Box,j-hope,2022-07-15,114477,69,0.0155,0.673,0.75,5.44e-06,0.348,-5.831,0.0655,105.848,0.708,4,9,1,spotify:track:70XnKsO3UnIT4FnEwChQXx,2022
Devil by the Window,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,2023-01-27,186471,71,0.0592,0.536,0.596,6.6e-06,0.116,-5.799,0.0984,133.995,0.643,4,6,0,spotify:track:53H3sGmqiXWO4MwuZAJfyn,2023
Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,210928,76,0.299,0.512,0.76,0.0,0.103,-5.889,0.0682,130.096,0.495,4,2,0,spotify:track:7CAdT0HdiQNlt1C7xk2hep,2022
Wild Flower (with youjeen),Indigo,RM,2022-12-02,273499,80,0.0282,0.486,0.766,0.0,0.123,-5.821,0.0938,154.992,0.417,4,8,1,spotify:track:1AZjCZSGEjlxUufFQwSszF,2022
The Planet,The Planet,BTS,2023-05-12,178156,71,0.000482,0.665,0.848,0.0,0.2,-3.619,0.0708,119.986,0.687,4,0,1,spotify:track:4IJsVXbSeGPUrgwpVoHmlg,2023
"Farewell, Neverland",The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,2023-01-27,180676,70,0.357,0.615,0.645,0.0,0.113,-5.87,0.134,167.952,0.787,4,1,0,spotify:track:43mnNatwMMydJ4CxMdQVnJ,2023
VIBE (feat. Jimin of BTS),Down to Earth,TAEYANG,2023-04-25,175775,70,0.0936,0.787,0.671,0.0,0.249,-5.6,0.0572,100.078,0.591,4,0,1,spotify:track:4NIe9Is7bN5JWyTeCW2ahK,2023
