name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,68,0.179,0.707,0.791,0.0,0.102,-4.483,0.035,106.985,0.674,4,5,0,spotify:track:0mZI1NpihIVcho2f9MmqSW,2018
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,214701,78,0.532,0.681,0.821,0.00111,0.0921,-5.12,0.131,94.074,0.813,4,11,0,spotify:track:5wxYxygyHpbgv0EXZuqb9V,2023
everythingoes (with Nell),mono.,RM,2018-10-23,222493,61,0.143,0.47,0.722,2.91e-06,0.128,-5.819,0.0303,92.034,0.14,4,5,1,spotify:track:0ZUtat3yQpzMRMJ9Qmz5k0,2018
Butterfly - Prologue Mix,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,295127,60,0.0446,0.373,0.541,0.001,0.0909,-6.451,0.0526,69.98,0.134,4,1,1,spotify:track:0XwvxY5yMRI7vh55eBRe3B,2016
Dis-ease,BE,BTS,2020-11-20,239722,65,0.0132,0.731,0.845,0.0,0.0782,-5.352,0.132,101.085,0.484,4,8,1,spotify:track:0hxeouHqP3qzpTHerA7ha2,2020
People,D-2,Agust D,2020-05-22,197000,69,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:6HDHaCnH2FCSdEwXrJfEVF,2020
Forg_tful (with Kim Sawol),Indigo,RM,2022-12-02,162295,66,0.674,0.766,0.26,2.47e-06,0.13,-11.19,0.0558,124.838,0.305,4,4,1,spotify:track:1mrS1j5cwaffpXsthTb2Qx,2022
Like Crazy (English Version),FACE,Jimin,2023-03-24,212253,85,0.00306,0.623,0.755,0.0,0.387,-5.386,0.0415,119.957,0.32,4,7,1,spotify:track:0u8rZGtXJrLtiSe34FPjGG,2023
Still With You,Still With You,Jung Kook,2020-06-05,239905,82,0.0899,0.529,0.469,1.53e-05,0.831,-6.967,0.0358,87.864,0.344,4,1,0,spotify:track:0eFMbKCRw8KByXyWBw8WO7,2020
Interlude : Set me free,D-2,Agust D,2020-05-22,140198,58,0.0755,0.31,0.416,3.34e-05,0.18,-10.429,0.0346,129.925,0.207,4,5,1,spotify:track:0lfJTv87NKrjyr0k7eueUR,2020
Lonely,Indigo,RM,2022-12-02,166020,71,0.168,0.786,0.583,0.000118,0.0828,-7.471,0.0371,114.487,0.674,4,11,0,spotify:track:49iPCmLYg3SS8r2MXcbR1N,2022
Black Swan,MAP OF THE SOUL : 7,BTS,2020-02-21,198260,72,0.137,0.719,0.757,0.0,0.129,-5.167,0.0849,147.024,0.489,4,2,0,spotify:track:2EmcTFQ1rM11wp2ztsXTHa,2020
My You,My You,Jung Kook,2022-06-13,165070,77,0.421,0.451,0.691,0.0,0.338,-5.395,0.0374,143.997,0.354,4,9,1,spotify:track:0pNFrM5L0te1EXGxveeYiR,2022
"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",D-DAY,Agust D,2023-04-21,264760,71,0.21,0.761,0.777,0.0,0.0771,-4.68,0.0941,89.959,0.377,4,5,0,spotify:track:4j3M8NrbGSXdMPwEVsnfHE,2023
No.2 (with parkjiyoon),Indigo,RM,2022-12-02,193963,67,0.599,0.727,0.619,0.0,0.0801,-8.399,0.0808,94.001,0.549,4,4,1,spotify:track:2sXaFMTkBHYrEgfGJ2y27a,2022
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,200929,81,0.115,0.585,0.815,0.0,0.124,-4.165,0.0565,132.09,0.564,4,0,0,spotify:track:59hBR0BCtJsfIbV9VzCVAp,2023
Mikrokosmos,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,224225,71,0.125,0.579,0.858,0.0,0.0502,-5.212,0.114,174.043,0.475,3,8,1,spotify:track:0jSccBRnhNU4KtACMQPvco,2019
Life Goes On,D-DAY,Agust D,2023-04-21,197638,70,0.0345,0.439,0.733,0.0,0.292,-6.471,0.0773,162.125,0.615,4,4,1,spotify:track:7gv3UYPh05ZDP7Io5BIsn7,2023
Smoke Sprite (feat. RM of BTS),Episode1 : Love,So!YoON!,2023-03-14,242200,71,0.151,0.608,0.692,0.0,0.173,-3.182,0.0441,131.972,0.569,4,9,0,spotify:track:5YSkDxmHvzSDWTu4MaEtfa,2023
Gypsophila,Crash Course in Romance OST Part 1,Lee Ju Hyuk,2023-01-15,212796,38,0.178,0.566,0.608,0.000299,0.119,-4.834,0.0257,107.987,0.171,4,3,1,spotify:track:6LA3jxPIsMLM4tpCGrb2B5,2023
